Date : 2023-08-11 15:20:51
Directory : /Users/kazimierzradzik/Desktop/drawtask
Total : 169 files,  8924 codes, 361 comments, 980 blanks, all 10265 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        102 |      6,916 |         86 |        655 |      7,657 |
| XML        |         26 |        929 |         52 |         50 |      1,031 |
| C++        |         16 |        533 |        118 |        181 |        832 |
| JSON       |          9 |        253 |          0 |          4 |        257 |
| Groovy     |          3 |         96 |          5 |         22 |        123 |
| YAML       |          2 |         73 |         77 |         17 |        167 |
| Swift      |          6 |         58 |          7 |         20 |         85 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         20 |          0 |         23 |         43 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        169 |      8,924 |        361 |        980 |     10,265 |
| . (Files)                                                                                                        |          3 |         90 |         77 |         38 |        205 |
| android                                                                                                          |         12 |        164 |         51 |         33 |        248 |
| android (Files)                                                                                                  |          3 |         46 |          0 |         11 |         57 |
| android/app                                                                                                      |          8 |        113 |         51 |         21 |        185 |
| android/app (Files)                                                                                              |          1 |         53 |          5 |         12 |         70 |
| android/app/src                                                                                                  |          7 |         60 |         46 |          9 |        115 |
| android/app/src/debug                                                                                            |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                             |          5 |         54 |         38 |          7 |         99 |
| android/app/src/main (Files)                                                                                     |          1 |         28 |          6 |          1 |         35 |
| android/app/src/main/res                                                                                         |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                            |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                            |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                          |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                           |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                           |         21 |        470 |          4 |         38 |        512 |
| assets/avatars                                                                                                   |          4 |          4 |          0 |          0 |          4 |
| assets/lottie                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| assets/svg                                                                                                       |         16 |        465 |          4 |         38 |        507 |
| assets/svg (Files)                                                                                               |         12 |        444 |          4 |         34 |        482 |
| assets/svg/tools                                                                                                 |          4 |         21 |          0 |          4 |         25 |
| ios                                                                                                              |          8 |        229 |          4 |         13 |        246 |
| ios/Runner                                                                                                       |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                               |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                       |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                    |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                  |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                            |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                  |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                              |        101 |      6,902 |         76 |        648 |      7,626 |
| lib (Files)                                                                                                      |          1 |         84 |          0 |          6 |         90 |
| lib/blocs                                                                                                        |         16 |        725 |         10 |        157 |        892 |
| lib/blocs (Files)                                                                                                |          1 |          5 |          0 |          1 |          6 |
| lib/blocs/auth                                                                                                   |          3 |        167 |          1 |         38 |        206 |
| lib/blocs/draw                                                                                                   |          3 |        164 |          0 |         26 |        190 |
| lib/blocs/drawings                                                                                               |          3 |         52 |          0 |         17 |         69 |
| lib/blocs/game                                                                                                   |          3 |        118 |          9 |         35 |        162 |
| lib/blocs/user                                                                                                   |          3 |        219 |          0 |         40 |        259 |
| lib/config                                                                                                       |         11 |        419 |         29 |         69 |        517 |
| lib/config (Files)                                                                                               |          3 |         36 |          5 |         12 |         53 |
| lib/config/drawing                                                                                               |          2 |         83 |          5 |         18 |        106 |
| lib/config/duration                                                                                              |          1 |         30 |          3 |          8 |         41 |
| lib/config/router                                                                                                |          3 |        250 |         16 |         25 |        291 |
| lib/config/utils                                                                                                 |          2 |         20 |          0 |          6 |         26 |
| lib/cubits                                                                                                       |          3 |         52 |          0 |          9 |         61 |
| lib/cubits (Files)                                                                                               |          1 |          1 |          0 |          0 |          1 |
| lib/cubits/theme                                                                                                 |          2 |         51 |          0 |          9 |         60 |
| lib/models                                                                                                       |          7 |        289 |          0 |         48 |        337 |
| lib/repositories                                                                                                 |          4 |        465 |          9 |         31 |        505 |
| lib/screens                                                                                                      |         53 |      4,690 |          9 |        287 |      4,986 |
| lib/screens (Files)                                                                                              |          1 |         12 |          3 |          5 |         20 |
| lib/screens/auth                                                                                                 |          7 |        857 |          0 |         55 |        912 |
| lib/screens/auth (Files)                                                                                         |          2 |        145 |          0 |         13 |        158 |
| lib/screens/auth/auth_tabs                                                                                       |          5 |        712 |          0 |         42 |        754 |
| lib/screens/main                                                                                                 |         39 |      3,571 |          6 |        204 |      3,781 |
| lib/screens/main (Files)                                                                                         |          7 |        607 |          0 |         35 |        642 |
| lib/screens/main/dashboard_screen                                                                                |          5 |        494 |          2 |         30 |        526 |
| lib/screens/main/dashboard_screen (Files)                                                                        |          3 |        290 |          0 |         20 |        310 |
| lib/screens/main/dashboard_screen/widgets                                                                        |          2 |        204 |          2 |         10 |        216 |
| lib/screens/main/drawing_screen                                                                                  |         10 |        759 |          0 |         46 |        805 |
| lib/screens/main/drawing_screen (Files)                                                                          |          1 |        254 |          0 |         12 |        266 |
| lib/screens/main/drawing_screen/widgets                                                                          |          9 |        505 |          0 |         34 |        539 |
| lib/screens/main/new_game_screen                                                                                 |          3 |        162 |          0 |         13 |        175 |
| lib/screens/main/new_game_screen (Files)                                                                         |          1 |         48 |          0 |          7 |         55 |
| lib/screens/main/new_game_screen/widgets                                                                         |          2 |        114 |          0 |          6 |        120 |
